model,probe_split,snapshot_label,snapshot_epoch,direction,alpha,loss,loss_delta,base_loss,grad_norm,direction_l2_norm,delta_norm,weight_norm,relative_perturbation_norm
VGG-A-BN,train_dev,epoch0,0,d_grad,-0.005,7.607375621795654,5.065777778625488,2.541597843170166,7.753987789154053,1.0,0.4550284445285797,91.00569152832031,0.0049999998559098705
VGG-A-BN,train_dev,epoch0,0,d_grad,-0.002,4.257075309753418,1.715477466583252,2.541597843170166,7.753987789154053,1.0,0.18201136589050293,91.00569152832031,0.0019999998113729217
VGG-A-BN,train_dev,epoch0,0,d_grad,-0.001,3.3244223594665527,0.7828245162963867,2.541597843170166,7.753987789154053,1.0,0.09100568294525146,91.00569152832031,0.0009999999056864608
VGG-A-BN,train_dev,epoch0,0,d_grad,0.0,2.541644811630249,4.696846008300781e-05,2.541597843170166,7.753987789154053,1.0,0.0,91.00569152832031,0.0
VGG-A-BN,train_dev,epoch0,0,d_grad,0.001,2.0911848545074463,-0.4504129886627197,2.541597843170166,7.753987789154053,1.0,0.09100568294525146,91.00569152832031,0.0009999999056864608
VGG-A-BN,train_dev,epoch0,0,d_grad,0.002,2.0014796257019043,-0.5401182174682617,2.541597843170166,7.753987789154053,1.0,0.18201136589050293,91.00569152832031,0.0019999998113729217
VGG-A-BN,train_dev,epoch0,0,d_grad,0.005,2.6023077964782715,0.06070995330810547,2.541597843170166,7.753987789154053,1.0,0.4550284445285797,91.00569152832031,0.0049999998559098705
VGG-A-BN,train_dev,epoch0,0,d_grad,0.01,4.295045852661133,1.7534480094909668,2.541597843170166,7.753987789154053,1.0,0.9100568890571594,91.00569152832031,0.009999999711819741
VGG-A-BN,train_dev,epoch0,0,d_random,-0.01,2.5410852432250977,-0.0005125999450683594,2.541597843170166,7.753987789154053,1.0,0.9100568890571594,91.00569152832031,0.009999999711819741
VGG-A-BN,train_dev,epoch0,0,d_random,-0.005,2.54119873046875,-0.0003991127014160156,2.541597843170166,7.753987789154053,1.0,0.4550284445285797,91.00569152832031,0.0049999998559098705
VGG-A-BN,train_dev,epoch0,0,d_random,-0.002,2.541364908218384,-0.00023293495178222656,2.541597843170166,7.753987789154053,1.0,0.18201138079166412,91.00569152832031,0.001999999975111705
VGG-A-BN,train_dev,epoch0,0,d_random,-0.001,2.5415329933166504,-6.4849853515625e-05,2.541597843170166,7.753987789154053,1.0,0.09100569039583206,91.00569152832031,0.0009999999875558525
VGG-A-BN,train_dev,epoch0,0,d_random,0.0,2.5416245460510254,2.6702880859375e-05,2.541597843170166,7.753987789154053,1.0,0.0,91.00569152832031,0.0
VGG-A-BN,train_dev,epoch0,0,d_random,0.001,2.5416886806488037,9.083747863769531e-05,2.541597843170166,7.753987789154053,1.0,0.09100569039583206,91.00569152832031,0.0009999999875558525
VGG-A-BN,train_dev,epoch0,0,d_random,0.002,2.5418732166290283,0.0002753734588623047,2.541597843170166,7.753987789154053,1.0,0.18201138079166412,91.00569152832031,0.001999999975111705
VGG-A-BN,train_dev,epoch0,0,d_random,0.005,2.5422234535217285,0.0006256103515625,2.541597843170166,7.753987789154053,1.0,0.4550284445285797,91.00569152832031,0.0049999998559098705
VGG-A-BN,train_dev,epoch0,0,d_random,0.01,2.5425353050231934,0.0009374618530273438,2.541597843170166,7.753987789154053,1.0,0.9100568890571594,91.00569152832031,0.009999999711819741
